PLU CODE	PLU NAME	Price	Item code	Price Type	Best Before Day
57777	Nhan nhuc kho kg	322800	57777	By Weight	0
52012	Tao Fuji New Zealand kg	85000	52012	By Weight	0
54018	Vit tuoi ncon kg	35000	54018	By Weight	0
50940	Ot xiem xanh kg	180000	50940	By Weight	0
57769	Duong phen kg	38500	57769	By Weight	0
56200	Chan gio R.XuongCoop Select kg	239900	56200	By Weight	0
50868	Tieu hat den Kg	314300	50868	By Weight	0
57106	Goi bon bon kg - Tu NCC	98000	57106	By Weight	0
50740	Hanh tim Phan Rang kg	74000	50740	By Weight	0
50244	Le Han Quoc kg	139000	50244	By Weight	0
50331	Ga ta tha vuon kg-TPDN990	70000	50331	By Weight	0
55997	Tao Pink My kg	108000	55997	By Weight	0
57754	Dau nanh kg	36700	57754	By Weight	0
54923	Ca dieu hong lsach kg-Tu NCC	99000	54923	By Weight	0
50267	Tao Fuji My kg	69000	50267	By Weight	0
57045	Mam ca linh kg	22000	57045	By Weight	0
57277	Kho ca sac bo dau kg	399500	57277	By Weight	0
57049	Mam tom chua kg	529500	57049	By Weight	0
50125	Mang la Kg	55000	50125	By Weight	0
57317	Kho ca Moi tam kg	324000	57317	By Weight	0
51091	Khoai lang mat kg	34500	51091	By Weight	0
11575	S-Tao xanh New Zealand kg(1)	40000	11575	By Weight	0
51081	Dao Uc kg	475000	51081	By Weight	0
50866	Nam tram Kg	81000	50866	By Weight	0
50871	Tim sen Kg	83000	50871	By Weight	0
57752	Dau den kg	67200	57752	By Weight	0
56698	Ca vien Basa hap kg	34800	56698	By Weight	0
51518	Uc ga file kg-NH	92000	51518	By Weight	0
57753	Dau do kg	77900	57753	By Weight	0
51090	Khoai lang tim kg-TD	7100	51090	By Weight	0
11602	S-Mang cut kg (1)	59900	11602	By Weight	0
50474	Dau tay My kg	240000	50474	By Weight	0
59081	Kieuchuangot Coop Select kg-SH	194000	59081	By Weight	0
57275	Kho ca luoi trau kg	310500	57275	By Weight	0
50151	Dua cai chua tron kg - Tu NCC	10000	50151	By Weight	0
50840	Toi Chua ngot Kg	34000	50840	By Weight	0
11118	S-Mang cau Tay Ninh kg(1)	40000	11118	By Weight	0
58652	Du du vang chung kg	32000	58652	By Weight	0
51683	S-Muc ong lot+thit xay NCC Kg	325000	51683	By Weight	0
57268	Kho ca du kg	364500	57268	By Weight	0
51127	Ca huynh de kg	132000	51127	By Weight	0
11397	S-Xoai keo kg(1)	12000	11397	By Weight	0
11601	S-Bo sap L2 kg(1)	45000	11601	By Weight	0
11493	S-Tao Ambrosia My kg(1)	30000	11493	By Weight	0
18658	S-Tao Ambrosia Canada kg(1)	40000	18658	By Weight	0
50245	S-Muc ong 20-30+thit xay-HM kg	390000	50245	By Weight	0
50214	Ngo sen kg	109000	50214	By Weight	0
51667	Dui bittet bo UC kg-VS990	395000	51667	By Weight	0
10267	S-Tao Fuji My kg(1)	40000	10267	By Weight	0
11818	S-Tao vang My kg(1)	35000	11818	By Weight	0
10283	S-Tao do My nho kg(1)	35000	10283	By Weight	0
51395	Hat dua khong mau kg	209500	51395	By Weight	0
53077	Co bo kg	220000	53077	By Weight	0
51867	Hong don lon kg	49000	51867	By Weight	0
54814	S-Cha ca that lat kg	299000	54814	By Weight	0
51771	Tao xanh giong Thai kg	50900	51771	By Weight	0
51846	Nho do Chile kg	115000	51846	By Weight	0
51932	Nho den khong hat Chile kg	170000	51932	By Weight	0
51934	Nho do Nam Phi	71000	51934	By Weight	0
51656	Coc cay loai-1	41000	51656	By Weight	0
51816	Buoi duong la cam kg	34500	51816	By Weight	0
57073	Hanh chua ngot kg	227900	57073	By Weight	0
51850	Tao do New Zealand kg	69900	51850	By Weight	0
51637	Xoai xanh giong Thai L1 kg	53800	51637	By Weight	0
55266	Ca Dieu Hong lam sach kg	97000	55266	By Weight	1
57282	Kho muc nho kg	1020600	57282	By Weight	0
50127	Bap cai Mien Bac Kg	13500	50127	By Weight	0
51795	Cam NamPhi loai1 kg	49900	51795	By Weight	0
51766	Nho do Uc loai2 kg	93000	51766	By Weight	0
51765	Man xanh Hani kg	12500	51765	By Weight	0
